"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s9q01","hh_s9q02_a","hh_s9q02_b","hh_s9q03","hh_s9q04","hh_s9q05","hh_s9q06","hh_s9q07","hh_s9q08","hh_s9q09","hh_s9q10","hh_s9q11","hh_s9q12","hh_s9q13","hh_s9q14","hh_s9q15","hh_s9q16","hh_s9q17","hh_s9q18","hh_s9q19","hh_s9q20","hh_s9q21"
"01020700101267","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,267,1,5,0,3,1,6,1,5,1,2,2,7,4,5,5,2,2,1,1,2,2,2
"01020700101297","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,297,1,14,3,1,1,4,1,5,1,2,5,7,3,7,7,2,2,1,1,1,2,2
"01020700101327","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,327,1,1,11,3,1,6,1,1,1,2,8,7,4,5,5,2,2,1,1,2,2,2
"01020700101357","01020700101",0,1273.43322753906,1,2,7,1,1,1,1,357,1,7,6,1,2,6,1,5,3,2,8,7,4,5,5,2,2,1,1,1,2,9
"01020800603004","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,4,1,34,0,1,3,1,4,1,2,2,8,3,4,8,8,1,2,2,,12,1,1
"01020800603019","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,19,1,36,0,1,2,5,4,1,3,2,8,7,4,8,8,2,2,2,,12,1,1
"01020800603029","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,29,1,9,0,2,2,5,4,1,2,2,8,7,4,8,8,2,2,2,,12,1,1
"01020800603034","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,34,1,38,0,1,3,5,4,1,3,2,8,7,4,8,8,2,2,2,,12,1,1
"01020800603049","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,49,1,18,0,1,3,5,4,1,3,2,8,7,4,8,8,2,2,2,,12,1,1
"01020800603064","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,64,2,45,0,1,2,5,4,1,3,2,8,7,4,8,8,2,2,2,,12,1,1
"01020800603079","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,79,1,43,0,1,2,5,4,1,3,2,8,7,4,4,4,2,2,2,,12,1,1
"01020800603094","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,94,1,28,0,2,2,5,3,1,3,2,8,7,4,4,4,2,2,2,,12,1,1
"01020800603109","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,109,1,20,0,1,1,5,3,1,1,2,8,7,4,4,4,2,2,2,,12,1,1
"01020800603124","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,124,1,30,0,2,1,5,4,1,3,2,8,7,4,8,8,2,2,2,,12,1,1
"01020800603140","01020800603",1,2945.6552734375,1,2,8,8,88,6,3,140,1,54,0,1,2,5,4,1,3,2,8,7,4,8,8,2,2,2,,12,1,1
"01020800603180","01020800603",1,364.069763183594,1,2,8,8,88,6,3,180,1,0,6,3,1,1,4,1,1,2,8,7,4,10,3,2,2,2,,8,1,1
"01020900602006","01020900602",1,4160.09130859375,1,2,9,8,88,6,2,6,1,59,5,1,3,5,4,1,3,2,8,7,5,7,7,2,2,2,,9,1,1
"01020900602024","01020900602",1,4160.09130859375,1,2,9,8,88,6,2,24,1,8,3,1,3,5,4,1,3,2,8,7,5,7,7,2,2,2,,8,1,1
